topic_id,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
101,70,"['data', 'prevista', 'nascimento', 'olívia', 'janeiro', 'fevereiro', 'da', 'provável', '30', '26']",Data provável do parto,Data prevista para o parto,Cálculo da data provável do parto,A data prevista para o nascimento da Olívia é 1º de fevereiro?,A data prevista para o nascimento da Olívia é 31 de janeiro?,A data prevista para o nascimento da Olívia é 27 de janeiro?,A data prevista para o nascimento da Olívia é 28 de janeiro?,A data prevista para o nascimento da Olívia é 29 de janeiro?,O efeito retroativo conta a partir da data do julgamento ou da data em que o STF declarou a inconstitucionalidade?,"Um índice de líquido amniótico de 1,4 é muito baixo com 26 semanas de gravidez?",Os seios ficaram doloridos antes ou depois da data prevista para a menstruação?,O teste Clearblue pode ser feito seis dias antes da data prevista da menstruação?,"Um parto com 30 horas de dor, sem dilatação e com nascimento em parto seco pode ser perigoso para o bebê?",,,,,,
102,61,"['clarinha', 'mãe', 'sabe', 'novo', 'esperando', 'grávida', 'está', 'da', 'yuri', 'valentina']",Mãe grávida e bebê no grupo,Gravidez da mãe e revelação,Mãe esperando um novo bebê,A Clarinha já sabe dessa gravidez?,A mãe da Clarinha está grávida?,É verdade que a mãe está grávida e que a Clarinha vai deixar de ser a caçula?,É verdade que a mãe da Clarinha está grávida novamente?,A mãe de Clarinha está grávida?,"Com 38 semanas e com encaminhamento, a laqueadura só pode ser feita se houver algum risco para o bebê ou para a mãe, junto com a cesárea?",Como você sabe que se trata de uma pedra grávida?,O pai do bebê da Nathy é o Tonho ou alguém da produção?,A inteligência do bebê é herdada da mãe?,Você sabe em que dia ocorreu a ovulação?,,,,,,
103,52,"['ácido', 'fólico', 'metilfolato', 'ferroso', 'sulfato', 'mg', 'autismo', 'suplementar', 'tomando', 'recomendação']",Suplementação de ácido fólico e ferro na gestação,Uso de ácido fólico na gravidez,Dosagem de ácido fólico e sulfato ferroso na gestação,É necessário tomar ácido fólico três meses antes de engravidar e continuar após a gravidez?,Por que mulheres grávidas usam ácido fólico?,É melhor comprar suplementos próprios para gestantes em vez de tomar ácido fólico de 5 mg?,Devo tomar ácido fólico três meses antes de engravidar?,Quanto ácido fólico deve ser tomado por dia na gravidez?,Qual é a recomendação atual para engasgos com líquidos em bebês?,Existe algum exame para saber se tive toxoplasmose no passado?,É permitido usar ácido retinoico durante a amamentação?,Existe algum exame ou procedimento para detectar autismo durante a gravidez?,"Quem está amamentando pode fazer selagem Let Me Be Protein, sem formol e à base de ácido?",,,,,,
104,63,"['bombinha', 'elétrica', 'bomba', 'carregada', 'sucção', 'liga', 'borracha', 'engolir', 'errada', 'uso']",Uso da bombinha elétrica para lactação,Funcionamento da bombinha elétrica de leite,Dúvidas sobre bombinha elétrica na amamentação,Quanto tempo devo deixar a bombinha elétrica carregando?,O uso da bombinha elétrica dói?,A bombinha elétrica pode ser usada enquanto está carregando?,A bombinha elétrica funciona bem para quem tem bico pequeno ou ela é muito grande para esse caso?,"Se eu tiver apenas uma bombinha, ainda posso fazer esse procedimento?",Por que um furo de agulha faz com que muito líquido se perca lentamente?,"No pós-parto de cesárea, essa massagem pode ser feita quantas vezes ao dia?",Um bebê de 3 meses que faz barulho na barriga ao mamar e vomita muito depois da mamada pode estar sendo alimentado de forma errada ou a fórmula pode não estar fazendo bem?,"Se eu comer tâmaras, isso pode ajudar no parto mesmo sem nenhuma dilatação?",Esse procedimento pode ajudar a fortalecer o movimento de sucção do bebê para mamar no peito?,,,,,,
105,65,"['remédio', 'engravidar', 'existe', 'impedir', 'tentando', 'rápido', 'espermatozoides', 'contínuo', 'dicas', 'deseja']",Remédios e estratégias para engravidar,Opções e tratamentos para engravidar,Dicas para aumentar chances de gravidez,O que posso fazer para engravidar sem precisar passar por tratamentos?,O que posso fazer após quase um ano tentando engravidar sem conseguir?,O remédio para engravidar rápido deu certo?,O que posso fazer para conseguir engravidar depois de tentar por quase dois anos sem sucesso?,Existe remédio para engravidar quando a mulher não consegue engravidar?,Quais dicas de higiene natural e quais posições confortáveis podem ajudar uma bebê de 54 dias com cólica e disquesia?,Existe diferença entre remédio convencional e bioidêntico?,Devo impedir que o bebê chupe o dedo?,Qual é o nome do remédio mencionado para o bebê?,"Depois de oito meses sem tomar um remédio de uso contínuo, ele ainda pode estar fazendo efeito?",,,,,,
106,64,"['comer', 'suco', 'comida', 'alimentar', 'introdução', 'meses', 'oferecer', 'carne', 'laranja', 'pediatra']",Introdução alimentar do bebê,Início da alimentação do bebê,Alimentação complementar na gestação e lactação,Um bebê de 4 meses já pode comer?,Por que dar comida a uma bebê de 4 meses?,Um bebê pode começar a comer com 4 meses?,Quem recomendou dar comida a uma bebê de 4 meses?,Com quantos meses posso começar a oferecer comida ao bebê?,Quantas tâmaras devo comer?,O suco pode ser feito com pó ou precisa ser natural?,Por que o suco das frutas tem mais açúcar do que comer a fruta?,Quais são mais sinais de que o trabalho de parto começou e o bebê está pronto para nascer?,"Após uma cesárea, é possível comer uma comida bem leve em vez de mascar chiclete para ter um efeito melhor?",,,,,,
107,73,"['engravidar', 'tentando', 'vocês', 'tentar', 'tentativas', 'contraceptivo', 'conseguir', 'você', 'todos', 'método']",Tentativas para engravidar e método contraceptivo,Conseguir engravidar após tentativas,Engravidar após uso de contraceptivo,O que você fez para engravidar?,Depois de quantas tentativas conseguiram engravidar?,Você conseguiu engravidar?,Você já conseguiu engravidar?,Você fez algo diferente para conseguir engravidar?,Esse procedimento era aplicado todos os dias nos bebês?,Você dá Colidis ao bebê todos os dias?,Existe algo que uma gestante com colestase gestacional possa fazer?,O que está causando o refluxo no bebê?,A vitamina Folidex pode ser usada por quem está tentando engravidar do segundo filho?,,,,,,
108,71,"['fértil', 'relação', 'período', 'ovulação', 'engravidar', 'relações', 'menstruação', 'sexual', 'aplicativo', 'dia']",Período fértil e risco de gravidez,Janela fértil e chance de engravidar,Ovulação e possibilidade de gravidez,Ter relação quatro dias depois de a menstruação terminar pode causar gravidez?,"É possível engravidar se tiver relação no primeiro dia da menstruação, mesmo continuando menstruada normalmente por 7 dias depois?",É possível engravidar após ter relação sexual enquanto estava menstruada?,Ter relação quatro dias antes da ovulação pode causar gravidez?,É possível engravidar se a relação sexual ocorreu e a menstruação desceu no dia seguinte?,É normal ainda estar menstruando 23 dias após ter tido o bebê?,Com qual aplicativo você acompanhava o período fértil?,Isso é para saber se estou fértil ou não?,É seguro ter relação sexual depois que o tampão mucoso já saiu?,Como identificar o período fértil quando não se conhece o próprio corpo?,,,,,,
109,63,"['exercícios', 'preparar', 'preparação', 'feitos', 'esses', 'exercício', 'devem', 'indicados', 'parto', 'para']",Exercícios para preparação do parto,Exercícios para se preparar para o parto,Exercícios na preparação para o parto,Esses exercícios para se preparar para o parto normal dão certo quando são feitos nessa fase da gestação?,Os exercícios para se preparar para o parto normal podem ser feitos no início da gestação ou apenas no final?,Gestantes com 5 meses de gravidez podem fazer esses exercícios para se preparar para o parto normal?,Gestantes com 20 semanas podem fazer esses exercícios de preparação para o parto normal?,Com quantos meses de gravidez devo começar os exercícios para o parto normal?,É possível preparar o Aptamil AR com água quente?,"Para um bebê de 9 meses, os 4 puffs indicados de 6 em 6 horas devem ser engolidos?","Para preparar 130 ml, quantas colheres de fórmula devo usar?",Esse exercício ajuda na lubrificação?,"Como saber quais exames devem ser feitos quando o médico não informa nada, no caso de um bebê com percentil 5?",,,,,,
110,53,"['contexto', 'gestação', 'segunda', 'evoluiu', 'toda', 'cuidou', 'enxoval', 'tudo', 'fala', 'tranquila']",Evolução da gestação e cuidados,Como está a gestação e cuidados,Evolução da gravidez e se cuidar,Como está a gestação?,Para que passei por tudo isso durante a gravidez?,Como está a gestação mencionada no comentário anterior?,Sua gestação deu tudo certo depois do mesmo problema?,Como foi a gestação dessa gravidez?,Kaleb tem algum problema de saúde?,A Sarinha fala português ou inglês?,A menina fala português?,"O que significa ""BB"" neste contexto relacionado ao bebê?",É normal que as axilas escureçam durante a gestação e o que fazer nesse caso?,,,,,,
111,55,"['diabetes', 'gestacional', 'glicemia', 'jejum', 'relacionado', 'glicose', 'controlada', 'controlar', 'insulina', 'gestante']",Diabetes gestacional e controle,Controle da diabetes gestacional,Glicemia na diabetes gestacional,"Com diabetes gestacional controlada, é possível ter parto normal?",O que fazer após descobrir diabetes gestacional com 37 semanas de gravidez?,Como é a gestação em mulheres com diabetes?,"Em casos de diabetes e pressão alta na gravidez, é obrigatório adiantar o parto?","Há outras gestantes com diabetes mellitus tipo 2, com 6 semanas de gravidez, aguardando retorno médico para começar a insulina?",É normal ter dificuldade para introduzir o aplicador do promestrieno quando se tem atrofia vaginal?,Esse tipo de dificuldade para mamar pode estar relacionado a algum problema gastroesofágico ou ao freio lingual?,Que tipo de tinta é usada na arte gestacional?,O hipotireoidismo pode estar relacionado ao atraso menstrual?,A melancia tem índice glicêmico alto?,,,,,,
112,45,"['pai', 'quem', 'estiver', 'mencionada', 'nessa', 'despercebida', 'participou', 'for', 'ela', 'caso']",Identificação do pai na gravidez,Quem é o pai do bebê,Pai biológico da gravidez,"Quem é o pai do bebê, caso a gravidez seja real?","Quem é o pai do bebê, se ela estiver realmente grávida?",Quem é o pai da gravidez?,De quem é o pai do bebê nesta gravidez?,Quem é o pai do bebê nessa gravidez?,"O que pode acontecer nessa situação de tipos sanguíneos diferentes entre mãe, pai e bebê?",É possível uma gravidez passar despercebida quando a mulher é gorda?,Quanto custa o parto nessa maternidade?,Você pode contar mais sobre os sintomas estranhos que teve durante a possível gravidez?,É possível uma gravidez passar despercebida até o parto?,,,,,,
113,42,"['ejaculação', 'calcinha', 'penetração', 'sêmen', 'proteção', 'relação', 'espermatozoides', 'engravidar', 'fértil', 'pênis']",Chance de gravidez por relação sexual,Risco de engravidar em relação sem proteção,Engravidar por contato com sêmen e penetração,"Se ele não ejaculou dentro, mas houve sêmen na calcinha, ainda existe chance de gravidez?",É possível engravidar por meio de relação sexual?,"É possível engravidar tendo relação sem proteção, sem ejaculação dentro, durante o período fértil?","Não sabe que, ao fazer sexo sem proteção, pode engravidar?",É possível engravidar se houver ejaculação na entrada da vagina e não dentro do canal vaginal?,Por que o ser humano ainda não evoluiu para facilitar o parto normal?,Essa secreção branca na gravidez pode sujar a calcinha?,"Depois de dois dias da relação, tomar chá de boldo faz o esperma descer?",Tenho chances de engravidar naturalmente com um ciclo de 28 dias e um exame do meu marido com 12 milhões de espermatozoides?,O muco vaginal relacionado à gravidez pode deixar a calcinha bem molhada?,,,,,,
114,58,"['urinária', 'pélvica', 'fisioterapia', 'vagina', 'incontinência', 'sonda', 'exercício', 'exercícios', 'espirrar', 'rir']",Fisioterapia pélvica e incontinência,Exercícios do assoalho pélvico,Saúde do assoalho pélvico na gestação,A fisioterapia pélvica resolve mesmo esse problema?,"Na fisioterapia pélvica, esse procedimento é feito com uma luva? Não seria melhor usar uma camisinha?",Os músculos vaginais estão fracos?,É normal sentir um pequeno desconforto nos primeiros dias ao fazer esse exercício de apertar e soltar o canal vaginal?,A vagina fica alargada depois do parto?,O Void sabe usar camisinha?,Qualquer bebê pode fazer esse exercício para melhorar o torcicolo?,É normal sair pouco leite ao ordenhar em casa enquanto o bebê está na UTI e ainda não pode mamar?,Quais exercícios ajudam a fazer o dorso do bebê ir para a esquerda quando ele está cefálico e com o dorso à direita?,Quanto de urina pode ser perdido ao espirrar ou rir em casos de incontinência urinária?,,,,,,
115,84,"['experiência', 'natural', 'parto', 'você', 'pretende', 'passar', 'normal', 'seu', 'luz', 'conseguiu']",Experiência e planejamento do parto,Experiências e escolhas sobre o parto,Vivências e intenção de parto,Você já teve parto normal?,Você não entrou em trabalho de parto?,Você conseguiu ter um parto natural?,Você já teve algum parto normal?,Você conseguiu ter parto normal?,Por que o exame de Coombs está reagente 1:8 se o meu tipo sanguíneo e o do meu marido são A+?,Quantas broncoaspirações esse profissional já causou?,Por que o leite natural de vaca não pode ser dado ao bebê?,"Há alguma indicação de hospital particular em Portugal com bom custo-benefício para o parto, considerando que minha esposa não pretende ter parto normal?",Como foi sua experiência no Hospital Sofia Feldman?,,,,,,
116,56,"['sintomas', 'esses', 'indicar', 'podem', 'descritos', 'junto', 'gravidez', 'atraso', 'menstrual', 'sensações']",Sintomas e atraso menstrual gravidez,Sinais de gravidez e atraso menstrual,Indicação de gravidez por sintomas,Esses sinais que estão acontecendo comigo podem indicar gravidez?,"Esses sintomas, junto com a menstruação que não veio, podem indicar gravidez?","Esses sintomas, junto com o atraso menstrual, podem indicar gravidez?",Os sintomas descritos podem indicar gravidez?,Esses sintomas podem indicar gravidez?,Roedores podem transmitir coriomeningite linfocitária na gravidez?,Como foram as primeiras 24 horas depois do parto?,Você pode me indicar uma doula?,Uma infecção urinária pode explicar o atraso menstrual e os sintomas descritos?,"Mesmo sem corrimento, essas sensações podem indicar início do trabalho de parto?",,,,,,
117,69,"['gi', 'grávida', 'mostrar', 'zoro', 'está', 'quem', 'pai', 'trabalho', 'real', 'ela']",Gi está grávida e pai do bebê,Quem é o pai do bebê da Gi,A Gi está grávida de quem,É verdade que a Gi está grávida?,A Gi estava grávida de verdade?,A Gi já está grávida?,A Gi está grávida?,Como a Gi está grávida?,Por que o Zoro não pode saber como nasceu?,Ketlen está grávida?,Klaten está grávida?,Ketel está grávida?,Fechar a mão durante o trabalho de parto contrai os músculos do períneo?,,,,,,
118,91,"['materno', 'leite', 'oferecer', 'paterno', 'geladeira', 'ficar', 'quanto', 'retirado', 'beber', 'armazenamento']",Armazenamento e oferta de leite materno,Conservação e oferecimento do leite materno,Armazenar e oferecer leite materno,O leite materno é dado ao bebê na mamadeira?,Uma mãe pode beber o próprio leite materno?,O leite materno ainda está nutrindo o bebê?,"Se eu tirar o leite materno, sou eu mesma que preciso dar esse leite ao bebê?",Como você faz para dar o leite materno ao bebê?,"Se a mulher ""rasgar"" no parto, a vagina pode ficar frouxa depois?","Durante a gravidez, a vagina pode ficar seca?","Por que o leite humano tem composição diferente do leite da vaca, mesmo nós também sendo mamíferos?",Quanto tempo demorou para o bebê nascer depois que as dores na coluna começaram?,Como é retirado um bebê pelas partes íntimas durante o parto?,,,,,,
119,57,"['mounjaro', 'enquanto', 'amamentando', 'alguma', 'amamentava', 'tirzepatida', 'tomando', 'percebeu', 'amamenta', 'usar']",Uso de Mounjaro na amamentação,Tirzepatida durante a amamentação,Mounjaro enquanto amamenta,Alguma mãe usou Mounjaro enquanto amamentava?,Alguma mãe que tomou Mounjaro enquanto amamentava percebeu alguma coisa?,A mãe que está amamentando está tomando Mounjaro por conta própria ou por prescrição médica?,Você sentiu alguma diferença ao tomar Mounjaro enquanto amamentava?,Há quantos meses você toma Mounjaro e amamenta sua filha?,Como ela assinou alguma coisa?,Por que chás naturais são proibidos e demonizados enquanto remédios químicos são aceitos pela classe médica?,Deve-se deixar de solicitar socorro enquanto se iniciam as manobras de desengasgo no bebê?,Alguém viu Graciele amamentando a filha?,Um bebê amamentado por seis dias por uma mãe com HTLV corre risco de contaminação?,,,,,,
120,50,"['linha', 'teste', 'fraca', 'farmácia', 'linhas', 'positivo', 'resultado', 'indica', 'traços', 'duas']",Resultado de teste de gravidez,Interpretação do teste de gravidez,Significado do resultado do teste,"Um teste de gravidez de farmácia com duas linhas rosas, sendo a segunda bem fraca e distante da primeira, indica um resultado positivo?","Um teste de gravidez feito antes do atraso menstrual, com uma linha forte e outra fraca, pode indicar gravidez?",Um teste de gravidez de farmácia com uma linha forte e outra muito fraca indica que estou grávida?,"Um teste de gravidez que ficou positivo, bem clarinho, aparecendo depois de 5 minutos, indica gravidez?",Um teste de gravidez com uma linha forte e outra bem fraquinha indica positivo?,Você já tem a camiseta rosa dos ursinhos que mostrou antes para usar com essa calça?,Por que o leite natural da vaca é considerado muito forte para o bebê?,Por que o êmbolo foi pressionado rapidamente?,"Você indica o biscoito ""Meu Primeiro Lanchinho"" da Mucilon para bebê?","O que pode significar um teste de farmácia em que aparecem dois traços, mas o segundo traço depois desaparece?",,,,,,
121,69,"['lado', 'dormir', 'esquerdo', 'cima', 'mal', 'posição', 'baixo', 'barriga', 'gestante', 'direito']",Posição para dormir na gestação,Lado e posição para dormir na gravidez,Recomendações de dormir durante a gravidez,É recomendado que a gestante durma do lado esquerdo?,Uma gestante pode dormir de barriga para cima?,"Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?",Gestantes podem dormir do lado direito ou precisam dormir apenas do lado esquerdo?,Dormir de barriga para cima na gravidez pode fazer mal?,É normal aparecer um cisto no lado esquerdo na ultrassonografia transvaginal quando estou perto de menstruar?,É normal que meu filho chupe o dedo quando vai dormir?,A posição de pernas abertas faz a bacia ficar fechada?,Por que meu filho fica incomodado nessa posição mesmo sem mamar?,"O que pode ser uma tremida forte no lado esquerdo da barriga, que durou poucos segundos e aconteceu duas semanas depois?",,,,,,
122,62,"['revelação', 'chá', 'descobrir', 'vai', 'sexo', 'haver', 'será', 'fazer', 'fazem', 'vocês']",Chá revelação do sexo do bebê,Fazer chá revelação para descobrir o sexo,Quando fazer chá revelação do bebê,Você vai fazer o chá revelação do bebê?,Vai haver chá revelação para descobrir se o bebê é menino ou menina?,Quando vocês vão fazer o chá revelação do bebê?,Vai haver chá revelação para descobrir o sexo do bebê?,Por que não fazem um chá revelação?,O hidratante Palmers Cocoa Butter é vendido no Brasil?,"Na Alemanha, as gestantes fazem o exame para estreptococo do grupo B na gravidez?",Você pode fazer um novo vídeo sobre depressão pós-parto?,É preciso cortar ou pegar no meio do bolo para ver qual cor vai aparecer no chá revelação?,Como preparar o chá de feno-grego?,,,,,,
123,70,"['perdeu', 'kamylinha', 'engravidou', 'perder', 'camilinha', 'disse', 'descobriu', 'kamila', 'camila', 'estava']",Gravidez perdida e descoberta,Perda gestacional e confirmação,Descoberta da gravidez e perda,É verdade que você perdeu o bebê?,É verdade que a Kamila está grávida?,A Camilinha está grávida de verdade?,É verdade que ela perdeu o bebê ou isso é mentira?,Você perdeu a gravidez?,É normal continuar sangrando após uma aspiração com AMIU realizada no dia 3 deste mês?,A requisição do teste de gravidez é de 17 de outubro de 2013?,"Com 38 semanas e 3 dias de gravidez, se o médico disse que o bebê está cefálico, isso significa que ele já está encaixado?",É possível acontecer entupimento de ducto mamário em quem não engravidou?,Como uma pedra engravidou?,,,,,,
124,42,"['histerectomia', 'total', 'progesterona', 'fez', 'repor', 'retirou', 'útero', 'reposição', 'usar', 'precisa']",Uso de progesterona após histerectomia,Reposição de progesterona após histerectomia,Progesterona na menopausa cirúrgica após histerectomia,Quem fez histerectomia total deve usar progesterona?,O uso de progesterona é indicado para mulheres que fizeram histerectomia?,"Após uma histerectomia, é verdade que não é necessário usar progesterona?","Quem fez a retirada do útero, mas ainda tem os ovários, deve usar progesterona?",Quem já retirou o útero também precisa repor progesterona?,Um bebê de 4 meses também deve usar 4 puffs de 6 em 6 horas?,Qual a porcentagem de iodo que a gestante deve usar?,"Foi feito repouso total, levantando apenas para ir ao banheiro e comer?","Em uma gestante com histórico de trabalho de parto prematuro, em uso de progesterona e com colo curto, qual conduta deve ser adotada: cerclagem, pessário ou outra medida?",Como saber quando a gestante deve usar pessário por ICC?,,,,,,
125,47,"['urina', 'xixi', 'colocado', 'teste', 'caseiro', 'testes', 'cotonete', 'feito', 'feitos', 'comida']",Testes de gravidez caseiros com urina,Como fazer teste de gravidez com urina,Teste de gravidez com urina e cotonete,O teste de gravidez é feito com urina?,O teste de gravidez não é feito com urina?,O teste de gravidez precisa ser feito com xixi?,O teste de gravidez é feito no xixi?,O teste de gravidez é feito com urina de verdade?,O que acontece se um embrião for colocado no útero de outro animal?,"Por que, biologicamente, o ser humano é feito para fazer isso?",O que a bebê fez foi por impulso ou porque ela sabia que estava na hora da comida?,Esse bebê vai ser colocado para adoção?,O bebê ainda não foi colocado no berço?,,,,,,
126,67,"['contrações', 'dilatação', 'doem', 'dor', 'parto', 'as', 'contração', 'cm', 'partos', 'sentir']",Dor do trabalho de parto,Dor nas contrações e dilatação,Intensidade da dor no parto,As contrações do parto realmente não doem?,As contrações do parto não doem?,As contrações de parto realmente doem?,Contrações de parto podem não doer?,As contrações de parto doem?,A pílula de levonorgestrel pode ter causado essa alteração no sangramento e na menstruação?,O que são contrações miojo?,"Por que Deus, segundo a teologia, teria criado um mecanismo de parto que gera tanto sofrimento e que matou tantas mães e bebês?",Como um hospital em Porto Alegre pode ter 97% de partos por cesárea?,Os partos na época das pedras eram realmente assim?,,,,,,
127,64,"['sonhar', 'significa', 'luz', 'dando', 'sonho', 'significar', 'fazia', 'mulher', 'que', 'mexendo']",Sonhos com gravidez e parto,Interpretação de sonhos com gestação,Significado de sonhos de gravidez,O que significa sonhar que está fazendo o parto de outra pessoa?,O que significa sonhar que estava perdendo o bebê?,O que significa sonhar que fez uma cesariana?,O que significa sonhar que eu estava tendo um bebê e fazia o parto sozinha?,O que significa sonhar que estou grávida e que vou dar à luz sem sentir dor?,Como a luz do ambiente externo consegue atravessar as sete camadas de pele até o bebê durante a gravidez?,"Mesmo o teste do pezinho da minha bebê não tendo mencionado G6PD, ela pode ter herdado essa deficiência?","Se a mulher estiver grávida, o Vitacid afeta apenas o bebê?",O que significa um bebê de 2 meses ter traço falciforme?,Isso pode significar que o bebê de 1 mês não está satisfeito com o leite materno?,,,,,,
128,44,"['pós', 'inchada', 'diástase', 'barriga', 'desinchar', 'enorme', 'parto', 'gordura', 'perna', 'parecer']",Desinchar barriga no pós-parto,Barriga inchada no pós-parto,Recuperação abdominal pós-parto,O que aconteceu com a barriga no pós-parto?,Por que a barriga no pós-parto ainda não desinchou?,É normal a barriga ainda estar inchada com dois meses de pós-parto?,"No pós-parto, é normal a barriga ainda parecer de grávida de seis meses mesmo após a mulher perder todo o peso ganho, depois de três ou quatro meses?",O que posso fazer para desinchar a barriga no pós-parto?,Uma criança que apresenta barriga inchada desde 1 ano de idade e continua assim aos 4 anos pode ter SIBO?,Por que a barriguinha do Kaleb está um pouco inchada?,Quanto tempo levou para você melhorar com o tratamento do TOC na gravidez ou no pós-parto?,Que condição faz a barriguinha dele ser tão inchada?,"Em uma cesárea, cada camada é costurada separadamente, incluindo a gordura, o músculo e a parede do útero?",,,,,,
129,54,"['estupro', 'caso', 'estuprada', 'cuidar', 'permitido', 'considerada', 'aborto', 'abuso', 'vítima', 'quer']",Aborto em gravidez decorrente de estupro,Permissão do aborto após estupro,Interrupção da gestação por estupro,"Em caso de estupro, a gravidez pode ser interrompida?",E se a gravidez for resultado de um estupro?,"Em caso de gravidez decorrente de estupro, é justo a pessoa ter que cuidar da criança?","Em caso de estupro, isso justifica a realização de aborto?","Em caso de estupro, é permitido o aborto?",Seria possível criar um útero artificial para desenvolver um bebê em uma máquina?,É verdade que o osso do fêmur se afasta para permitir o encaixe do bebê na hora do nascimento?,A dificuldade para ter relação e a dor no pós-parto após a cesárea podem ter कारण psicológico?,A depressão pós-parto pode ser considerada aos 10 meses após o parto?,"Em casos de tipo sanguíneo e fator Rh diferentes entre mãe e bebê, qual é o parto mais adequado?",,,,,,
130,60,"['útero', 'ovários', 'progesterona', 'usar', 'tem', 'reposição', 'colo', 'precisa', 'via', 'mulher']",Reposição de progesterona sem útero,Uso de progesterona sem útero,Progesterona na ausência de útero,Quem não tem útero pode tomar progesterona?,"E quando a mulher não tem útero, como fica o uso de progesterona?",Quem não tem útero precisa usar progesterona?,Quem não tem útero precisa tomar progesterona?,Uma pessoa que não tem útero pode usar progesterona?,Uma bebê de 2 meses que regurgita muito pode usar Aptamil RR?,Os dois passaportes do bebê precisam ter o mesmo nome?,É normal que as perninhas do bebê fiquem muito abertas ao usar o canguru?,"Quando o bebê chega em casa, pode usar ventilador nele?",Quem faz tratamento da tireoide com Puran pode usar o indutor de ovulação Indux?,,,,,,
131,47,"['homens', 'engravidar', 'faz', 'sabem', 'ovodoação', 'conseguem', 'gerar', 'como', 'sozinhas', 'filhos']",Como engravidar e ter filhos,Como ficar grávida e ter bebê,Como ter uma gravidez e filhos,Como uma pessoa faz para engravidar?,Como se faz para engravidar e ter um filho?,Como se faz para engravidar e ter um bebê?,Como é possível ficar grávida?,Como posso engravidar?,A fertilização in vitro pode gerar crianças autistas ou com outro distúrbio cognitivo?,Homens sentem a dor do parto para afirmar que o parto não dói?,Como se faz o charutinho para o bebê?,A maternidade Amparo Maternal é indicada para ter o bebê?,Como os homens se sentem ao vivenciar esse momento?,,,,,,
132,86,"['menino', 'menina', 'acha', 'certeza', 'será', 'quis', 'dizer', 'ou', 'marcar', 'rosa']",Definição do sexo do bebê,Se o bebê é menino ou menina,Certeza sobre o sexo do bebê,Você já sabe se o bebê é menina ou menino?,Você acha que o bebê é menina ou menino?,Você já sabe se o bebê é menino ou menina?,Você acha que o bebê é menino ou menina?,Será que vem uma menina ou um menino?,"Em caso de placenta prévia, é necessário marcar a cesárea ou é possível esperar o trabalho de parto começar?",Os amigos teriam reagido da mesma forma se a fumaça tivesse sido rosa?,"Em caso de bebê transverso, é possível esperar o trabalho de parto começar antes de marcar a cesárea?",O que é fimose em menino?,O bebê da Lau vai ser menino ou menina?,,,,,,
133,69,"['baleia', 'filhote', 'amamentação', 'baleias', 'água', '100', 'mar', 'amamentam', 'filhotes', 'quilos']",Amamentação e saúde materna,Cuidados na amamentação materna,Amamentação da mãe e do bebê,Por que não se deve beber nada durante a amamentação?,"Durante a amamentação, é necessário dar pequenas pausas para o bebê respirar?",É verdade que a baleia amamenta seu filhote?,Bebês conseguem mamar e respirar ao mesmo tempo nessa fase?,Como o filhote não engole água junto com o leite durante a amamentação?,"O teste de ovulação negativo feito no 11º dia de um ciclo de 27 dias, com dor no lado direito e ingestão de muitos chás e água, pode ser um falso negativo?",Qual deve ser a temperatura da água para preparar essa fórmula? A água precisa estar quente?,A fertilização in vitro funciona 100% das vezes?,"Se uma baleia pesa 1 tonelada e ganha 100 quilos por dia, ela chegaria a 100 toneladas na fase adulta?",Você está comendo muitos carboidratos nas refeições?,,,,,,
134,66,"['alimentação', 'fome', 'alimentos', 'durante', 'dieta', 'gestante', 'comer', 'quantidade', 'quais', 'carnívora']",Alimentação e dieta na gestação,Dieta e alimentação da gestante,Alimentos e quantidade na gravidez,Como era a alimentação durante a gravidez?,Como era a alimentação antes da gravidez?,Quais alimentos uma gestante pode consumir durante a gravidez?,Quais alimentos a gestante deve ingerir durante a gravidez?,Como era a sua alimentação durante a gravidez?,"É possível que eu tenha pegado toxoplasmose da minha mãe durante a gravidez dela, se eu tenho uma cicatriz na retina?",Qual é a quantidade de iodo?,Como congelar alimentos para as marmitas?,Quais alimentos contêm iodo?,Como preparar o Nestogeno Espessar indicado pela pediatra para a alimentação mista da minha bebê?,,,,,,
135,43,"['cocô', 'fezes', 'evacuar', 'verde', 'força', 'fazer', 'normal', 'espumoso', 'muco', 'fórmula']",Alterações nas fezes e evacuação,Mudanças no cocô e evacuar,Fezes diferentes e dificuldade evacuatória,É normal o bebê fazer cocô logo que começa a tomar leite ou enquanto ainda está mamando?,É normal o cocô do bebê ficar bem espumoso também?,É normal o cocô do meu bebê estar muito mole?,O que fazer quando a minha bebê está há dias sem fazer cocô?,É normal que o cocô do bebê esteja verde?,A mulher começa a ovular ou ovula apenas uma vez por mês?,"Qual é a fonte para afirmar que um parto demorado, induzido ou com ingestão de fezes pode causar autismo?",O pai consegue limpar a Olívia quando ela fizer cocô ou se sujar?,É normal uma bebê de 5 meses com cardiopatia e síndrome de Down se engasgar frequentemente ao tomar fórmula?,É perigoso fazer força para evacuar durante a gravidez quando há sangramento?,,,,,,
